
timestamp,d,y,p,r,a_x,a_y,a_z
15:18:54.576,73,-146.55,8.61,2.14,-164,0,-2354
15:18:54.680,74,-146.50,8.63,2.10,-396,-25,-3025
15:18:54.750,73,-146.41,8.73,2.08,-583,-107,-3453
15:18:54.858,70,-146.26,8.94,2.09,-690,-248,-3642
15:18:54.998,71,-144.11,13.00,-0.40,-765,-194,-4077
15:18:55.105,71,-143.94,13.28,-0.50,-828,-209,-4050
15:18:55.207,67,-143.82,13.56,-0.60,-768,-221,-4021
15:18:55.276,70,-143.71,13.77,-0.71,-683,-224,-3976
15:18:55.383,70,-143.61,13.95,-0.82,-697,-258,-3939
15:18:55.527,70,-139.11,16.74,-2.55,-291,352,-4081
15:18:55.633,69,-138.76,16.84,-2.55,-293,312,-3990
15:18:55.703,74,-138.40,16.95,-2.57,-299,241,-3911
15:18:55.810,72,-138.08,17.05,-2.63,-315,214,-3870
15:18:55.883,71,-137.78,17.12,-2.73,-346,229,-3922
15:18:56.093,67,-126.97,17.85,-2.78,-281,300,-3837
15:18:56.199,72,-126.64,17.84,-2.82,-365,245,-3878
15:18:56.266,66,-126.31,17.85,-2.84,-461,223,-3949
15:18:56.376,66,-125.99,17.87,-2.84,-507,227,-4040
15:18:56.478,64,-125.69,17.88,-2.79,-552,250,-4079
15:18:56.625,68,-122.38,16.95,-2.73,-3,349,-4001
15:18:56.697,63,-122.36,16.95,-2.79,2,305,-3963
15:18:56.800,67,-122.37,16.97,-2.89,-47,273,-3987
15:18:56.871,66,-122.40,16.98,-2.98,-74,279,-4041
15:18:57.016,66,-123.56,18.61,-4.25,-198,471,-4132
15:18:57.121,70,-123.61,18.76,-4.33,-235,452,-4234
15:18:57.232,76,-123.67,18.90,-4.37,-239,458,-4276
15:18:57.300,71,-123.73,19.01,-4.38,-212,462,-4269
15:18:57.402,68,-123.78,19.16,-4.39,-201,461,-4196
15:18:57.539,72,-126.46,22.44,-6.91,-108,705,-4020
15:18:57.647,75,-126.48,22.52,-6.99,-61,716,-3990
15:18:57.721,71,-126.49,22.57,-7.11,-36,729,-3998
