timestamp,d,y,p,r,a_x,a_y,a_z,a_x_calibration,a_y_calibration,a_z_calibration
15:21:24.360,103,18.2,5.29,3.7,222,-20,-3764,-360.6075949367089,-282.9341772151899,491.76962025316425
15:21:24.469,100,18.37,5.43,3.58,557,-46,-3879,-25.607594936708892,-308.9341772151899,376.76962025316425
15:21:24.569,97,18.5,5.68,3.52,774,-164,-4014,191.3924050632911,-426.9341772151899,241.76962025316425
15:21:24.642,97,18.59,5.89,3.43,705,-57,-4105,122.39240506329111,-319.9341772151899,150.76962025316425
15:21:24.749,96,18.7,6.03,3.34,721,21,-4121,138.3924050632911,-241.9341772151899,134.76962025316425
15:21:24.930,100,22.21,8.08,1.84,529,-334,-4141,-53.60759493670889,-596.93417721519,114.76962025316425
15:21:25.041,100,22.32,8.07,1.9,508,-374,-4155,-74.60759493670889,-636.93417721519,100.76962025316425
15:21:25.111,101,22.45,8.07,1.98,537,-397,-4139,-45.60759493670889,-659.93417721519,116.76962025316425
15:21:25.219,99,22.58,8.1,2.06,567,-358,-4075,-15.607594936708892,-620.93417721519,180.76962025316425
15:21:25.325,98,22.7,8.15,2.09,578,-347,-4048,-4.607594936708892,-609.93417721519,207.76962025316425
15:21:25.471,98,28.94,12.36,1.01,446,-463,-3997,-136.6075949367089,-725.93417721519,258.76962025316425
15:21:25.540,98,29.18,12.49,1.0,412,-440,-3951,-170.6075949367089,-702.93417721519,304.76962025316425
15:21:25.647,94,29.4,12.59,0.93,406,-422,-3928,-176.6075949367089,-684.93417721519,327.76962025316425
15:21:25.718,96,29.58,12.65,0.85,390,-446,-3952,-192.6075949367089,-708.93417721519,303.76962025316425
15:21:25.869,94,36.18,14.04,-0.29,381,-434,-4190,-201.6075949367089,-696.93417721519,65.76962025316425
15:21:25.970,93,36.44,14.08,-0.28,368,-395,-4105,-214.6075949367089,-657.93417721519,150.76962025316425
15:21:26.044,97,36.69,14.14,-0.32,358,-355,-3998,-224.6075949367089,-617.93417721519,257.76962025316425
15:21:26.152,91,36.91,14.18,-0.41,359,-395,-3997,-223.6075949367089,-657.93417721519,258.76962025316425
15:21:26.252,94,37.13,14.22,-0.48,353,-442,-4038,-229.6075949367089,-704.93417721519,217.76962025316425
15:21:26.396,92,44.88,16.15,-0.9,258,-488,-4110,-324.6075949367089,-750.93417721519,145.76962025316425
15:21:26.471,92,45.09,16.18,-0.91,249,-495,-4104,-333.6075949367089,-757.93417721519,151.76962025316425
15:21:26.580,95,45.29,16.17,-0.91,231,-548,-4147,-351.6075949367089,-810.93417721519,108.76962025316425
15:21:26.686,92,45.48,16.14,-0.88,213,-566,-4161,-369.6075949367089,-828.93417721519,94.76962025316425
15:21:26.761,95,45.7,16.15,-0.86,207,-565,-4137,-375.6075949367089,-827.93417721519,118.76962025316425
15:21:26.900,92,53.11,17.48,-0.41,260,-600,-4167,-322.6075949367089,-862.93417721519,88.76962025316425
15:21:27.004,90,53.32,17.49,-0.39,273,-569,-4122,-309.6075949367089,-831.93417721519,133.76962025316425
15:21:27.112,91,53.56,17.55,-0.36,290,-560,-4108,-292.6075949367089,-822.93417721519,147.76962025316425
15:21:27.182,94,53.77,17.59,-0.34,273,-576,-4120,-309.6075949367089,-838.93417721519,135.76962025316425
15:21:27.327,91,56.48,17.37,-0.71,298,-558,-4192,-284.6075949367089,-820.93417721519,63.76962025316425
15:21:27.435,91,56.5,17.32,-0.71,302,-567,-4218,-280.6075949367089,-829.93417721519,37.76962025316425
15:21:27.506,91,56.5,17.23,-0.71,247,-615,-4209,-335.6075949367089,-877.93417721519,46.76962025316425
15:21:27.619,87,56.53,17.15,-0.73,229,-628,-4188,-353.6075949367089,-890.93417721519,67.76962025316425
15:21:27.727,88,56.56,17.13,-0.74,238,-622,-4162,-344.6075949367089,-884.93417721519,93.76962025316425
15:21:27.838,89,56.94,15.84,-1.46,120,-661,-4196,-462.6075949367089,-923.93417721519,59.76962025316425
15:21:27.947,85,57.0,15.9,-1.45,93,-573,-4050,-489.6075949367089,-835.93417721519,205.76962025316425
15:21:28.019,89,57.03,16.0,-1.52,116,-539,-4044,-466.6075949367089,-801.93417721519,211.76962025316425
15:21:28.122,87,57.02,16.05,-1.6,147,-582,-4167,-435.6075949367089,-844.93417721519,88.76962025316425
15:21:28.228,90,57.0,16.04,-1.63,171,-620,-4271,-411.6075949367089,-882.93417721519,-15.230379746835752
15:21:28.370,83,55.69,17.08,-2.16,162,-791,-4263,-420.6075949367089,-1053.93417721519,-7.230379746835752
15:21:28.445,83,55.63,17.03,-2.2,100,-778,-4158,-482.6075949367089,-1040.93417721519,97.76962025316425
15:21:28.552,86,55.57,17.04,-2.29,144,-736,-4097,-438.6075949367089,-998.93417721519,158.76962025316425
15:21:28.654,84,55.51,17.11,-2.38,175,-731,-4121,-407.6075949367089,-993.93417721519,134.76962025316425
15:21:28.800,82,54.3,18.82,-3.98,111,-789,-3994,-471.6075949367089,-1051.93417721519,261.76962025316425
