timestamp,d,y,p,r,a_x,a_y,a_z
15:30:00.896,40,-4.05,1.56,2.04,151,-143,-2335
15:30:01.004,41,-3.68,1.76,1.88,280,-337,-2962
15:30:01.105,40,-3.30,2.04,1.75,344,-414,-3354
15:30:01.179,37,-2.95,2.29,1.65,324,-404,-3598
15:30:01.320,39,3.42,4.60,-0.76,103,-473,-4245
15:30:01.427,38,3.65,4.67,-0.83,40,-459,-4254
15:30:01.537,31,3.88,4.69,-0.91,-5,-447,-4253
15:30:01.610,38,4.13,4.70,-0.99,36,-425,-4231
15:30:01.717,36,4.40,4.77,-1.09,94,-426,-4242
15:30:01.859,36,12.91,7.62,-2.42,23,-492,-4124
15:30:01.959,29,13.25,7.68,-2.42,4,-477,-4108
15:30:02.031,32,13.60,7.76,-2.45,58,-497,-4101
15:30:02.138,32,13.96,7.87,-2.47,76,-555,-4133
15:30:02.211,32,14.30,7.98,-2.47,49,-578,-4147
15:30:02.355,33,22.55,9.68,-3.20,-82,-496,-4138
15:30:02.467,30,22.82,9.76,-3.21,-72,-496,-4154
15:30:02.536,31,23.09,9.83,-3.22,-93,-490,-4146
15:30:02.643,33,23.35,9.89,-3.25,-127,-497,-4137
15:30:02.792,31,29.67,11.04,-3.45,-176,-775,-4138
15:30:02.899,32,29.82,10.99,-3.48,-190,-783,-4190
15:30:02.975,36,29.99,10.95,-3.49,-261,-777,-4225
15:30:03.086,33,30.18,10.91,-3.51,-336,-760,-4246
15:30:03.159,32,30.41,10.90,-3.53,-381,-714,-4242
15:30:03.304,32,39.37,10.17,-5.41,-8,-848,-4437
15:30:03.410,31,39.74,10.16,-5.40,28,-764,-4385
15:30:03.484,32,40.09,10.17,-5.40,29,-713,-4324
15:30:03.591,34,40.42,10.16,-5.41,-30,-710,-4279
15:30:03.663,36,40.74,10.13,-5.43,-84,-699,-4227
15:30:03.810,31,49.34,9.46,-5.52,-39,-923,-4217
15:30:03.912,39,49.61,9.44,-5.40,-56,-922,-4197
15:30:04.014,30,49.87,9.38,-5.29,-110,-935,-4152
15:30:04.120,35,50.12,9.29,-5.21,-116,-925,-4129
15:30:04.259,29,53.29,7.57,-4.51,-511,-1158,-4517
15:30:04.328,29,53.51,7.61,-4.49,-473,-1194,-4582
15:30:04.436,29,53.81,7.74,-4.44,-430,-1194,-4619
15:30:04.538,29,54.15,7.92,-4.37,-410,-1227,-4631
15:30:04.612,30,54.50,8.06,-4.30,-433,-1238,-4587
15:30:04.755,29,60.66,8.75,-2.72,55,-989,-4287
15:30:04.865,31,60.74,8.64,-2.68,68,-983,-4309
15:30:04.969,29,60.81,8.52,-2.62,64,-1000,-4336
15:30:05.039,30,60.86,8.39,-2.55,55,-997,-4377
15:30:05.151,29,60.91,8.26,-2.47,30,-994,-4395
15:30:05.293,33,61.36,7.03,-2.51,190,-1068,-4152
15:30:05.361,28,61.25,6.96,-2.54,176,-1079,-4151
15:30:05.469,26,61.13,6.89,-2.59,143,-1114,-4161
15:30:05.570,30,61.02,6.82,-2.66,144,-1156,-4212
15:30:05.714,26,56.64,5.10,-3.18,168,-1012,-4271
15:30:05.783,26,56.42,5.07,-3.27,164,-1010,-4256
15:30:05.894,28,56.22,5.04,-3.37,176,-1091,-4305
15:30:05.965,26,56.02,4.98,-3.44,193,-1173,-4380
