timestamp,d,y,p,r,a_x,a_y,a_z
15:23:43.955,451,37.33,-0.01,3.75,-92,32,107
15:23:44.028,445,37.36,-0.02,3.76,-86,57,176
15:23:44.140,448,37.39,-0.03,3.74,-63,58,195
15:23:44.215,448,37.43,-0.03,3.71,-39,20,150
15:23:44.321,451,37.47,-0.03,3.67,-19,-17,84
15:23:44.467,457,37.92,-0.16,3.94,185,-38,235
15:23:44.541,455,37.92,-0.17,3.94,113,-9,228
15:23:44.649,462,37.93,-0.17,3.94,89,-27,187
15:23:44.722,450,37.94,-0.16,3.92,104,-83,106
15:23:44.833,451,37.94,-0.16,3.91,12733,-1796,19474
15:23:44.981,454,46.36,-1.17,1.19,-5586,-3030,-1683
15:23:45.087,462,47.82,-1.21,1.36,-5772,-3683,-1774
15:23:45.162,319,49.54,-1.39,1.50,-5820,-3979,-2042
15:23:45.237,640,51.36,-1.35,1.73,-5517,-4417,-2493
15:23:45.348,638,53.11,-0.92,2.15,-4676,-5316,-3186
15:23:45.493,518,41.57,-17.88,4.80,-6452,4729,2391
15:23:45.568,443,42.10,-18.18,3.33,-7315,2717,844
15:23:45.678,435,42.27,-17.91,2.23,-8178,466,-69
15:23:45.786,424,42.18,-17.45,1.63,-9042,-1106,152
15:23:45.857,418,42.53,-17.24,0.99,-9896,-2235,571
15:23:46.003,416,48.61,3.72,3.21,-1477,-501,56
15:23:46.116,405,48.47,3.55,3.44,-1639,-305,235
