timestamp,d,y,p,r,a_x,a_y,a_z
15:21:24.360,103,18.20,5.29,3.70,222,-20,-3764
15:21:24.469,100,18.37,5.43,3.58,557,-46,-3879
15:21:24.569,97,18.50,5.68,3.52,774,-164,-4014
15:21:24.642,97,18.59,5.89,3.43,705,-57,-4105
15:21:24.749,96,18.70,6.03,3.34,721,21,-4121
15:21:24.930,100,22.21,8.08,1.84,529,-334,-4141
15:21:25.041,100,22.32,8.07,1.90,508,-374,-4155
15:21:25.111,101,22.45,8.07,1.98,537,-397,-4139
15:21:25.219,99,22.58,8.10,2.06,567,-358,-4075
15:21:25.325,98,22.70,8.15,2.09,578,-347,-4048
15:21:25.471,98,28.94,12.36,1.01,446,-463,-3997
15:21:25.540,98,29.18,12.49,1.00,412,-440,-3951
15:21:25.647,94,29.40,12.59,0.93,406,-422,-3928
15:21:25.718,96,29.58,12.65,0.85,390,-446,-3952
15:21:25.869,94,36.18,14.04,-0.29,381,-434,-4190
15:21:25.970,93,36.44,14.08,-0.28,368,-395,-4105
15:21:26.044,97,36.69,14.14,-0.32,358,-355,-3998
15:21:26.152,91,36.91,14.18,-0.41,359,-395,-3997
15:21:26.252,94,37.13,14.22,-0.48,353,-442,-4038
15:21:26.396,92,44.88,16.15,-0.90,258,-488,-4110
15:21:26.471,92,45.09,16.18,-0.91,249,-495,-4104
15:21:26.580,95,45.29,16.17,-0.91,231,-548,-4147
15:21:26.686,92,45.48,16.14,-0.88,213,-566,-4161
15:21:26.761,95,45.70,16.15,-0.86,207,-565,-4137
15:21:26.900,92,53.11,17.48,-0.41,260,-600,-4167
15:21:27.004,90,53.32,17.49,-0.39,273,-569,-4122
15:21:27.112,91,53.56,17.55,-0.36,290,-560,-4108
15:21:27.182,94,53.77,17.59,-0.34,273,-576,-4120
15:21:27.327,91,56.48,17.37,-0.71,298,-558,-4192
15:21:27.435,91,56.50,17.32,-0.71,302,-567,-4218
15:21:27.506,91,56.50,17.23,-0.71,247,-615,-4209
15:21:27.619,87,56.53,17.15,-0.73,229,-628,-4188
15:21:27.727,88,56.56,17.13,-0.74,238,-622,-4162
15:21:27.838,89,56.94,15.84,-1.46,120,-661,-4196
15:21:27.947,85,57.00,15.90,-1.45,93,-573,-4050
15:21:28.019,89,57.03,16.00,-1.52,116,-539,-4044
15:21:28.122,87,57.02,16.05,-1.60,147,-582,-4167
15:21:28.228,90,57.00,16.04,-1.63,171,-620,-4271
15:21:28.370,83,55.69,17.08,-2.16,162,-791,-4263
15:21:28.445,83,55.63,17.03,-2.20,100,-778,-4158
15:21:28.552,86,55.57,17.04,-2.29,144,-736,-4097
15:21:28.654,84,55.51,17.11,-2.38,175,-731,-4121
15:21:28.800,82,54.30,18.82,-3.98,111,-789,-3994
15:21:28.871,83,54.24,18.91,-4.09,150,-746,-4035
15:21:28.979,87,54.16,18.99,-4.20,106,-746,-4075
15:21:29.086,87,54.06,19.00,-4.32,142,-749,-4173
15:21:29.160,89,53.96,19.04,-4.37,219,-733,-4270
15:21:29.302,88,53.22,21.12,-6.61,154,-903,-4286
15:21:29.405,90,53.29,21.20,-6.68,91,-911,-4219
15:21:29.478,91,53.34,21.21,-6.77,110,-900,-4211
