timestamp,d,y,p,r,a_x,a_y,a_z,a_x_calibration,a_y_calibration,a_z_calibration
15:23:18.212,102,-54.37,-19.34,-30.46,-699,-3882,-4025,-418.9428571428571,-2773.044897959184,197.37551020408137
15:23:18.322,101,-54.32,-19.02,-30.41,-450,-3639,-4458,-169.94285714285712,-2530.044897959184,-235.62448979591863
15:23:18.426,102,-54.28,-18.73,-30.38,-286,-3471,-4725,-5.942857142857122,-2362.044897959184,-502.62448979591863
15:23:18.495,97,-54.24,-18.45,-30.38,-213,-3324,-4933,67.05714285714288,-2215.044897959184,-710.6244897959186
15:23:18.667,101,-52.93,-11.28,-29.79,232,-2730,-4582,512.0571428571429,-1621.0448979591836,-359.62448979591863
15:23:18.737,105,-52.85,-10.97,-29.83,171,-2720,-4504,451.0571428571429,-1611.0448979591836,-281.62448979591863
15:23:18.842,103,-52.78,-10.66,-29.89,90,-2711,-4509,370.0571428571429,-1602.0448979591836,-286.62448979591863
15:23:18.950,102,-52.71,-10.36,-29.94,0,-2693,-4513,280.0571428571429,-1584.0448979591836,-290.62448979591863
15:23:19.024,102,-52.63,-10.06,-29.99,-96,-2672,-4502,184.05714285714288,-1563.0448979591836,-279.62448979591863
15:23:19.173,101,-47.02,-1.22,-30.67,-268,-2274,-4724,12.057142857142878,-1165.0448979591836,-501.62448979591863
15:23:19.246,106,-46.85,-0.97,-30.64,-267,-2250,-4636,13.057142857142878,-1141.0448979591836,-413.62448979591863
15:23:19.359,102,-46.67,-0.75,-30.64,-300,-2218,-4591,-19.94285714285712,-1109.0448979591836,-368.62448979591863
15:23:19.467,102,-46.49,-0.52,-30.63,-340,-2206,-4568,-59.94285714285712,-1097.0448979591836,-345.62448979591863
15:23:19.538,104,-46.31,-0.25,-30.61,-358,-2196,-4561,-77.94285714285712,-1087.0448979591836,-338.62448979591863
15:23:19.675,104,-38.72,7.55,-29.3,-459,-1784,-4331,-178.94285714285712,-675.0448979591836,-108.62448979591863
15:23:19.785,108,-38.46,7.76,-29.26,-504,-1751,-4324,-223.94285714285712,-642.0448979591836,-101.62448979591863
15:23:19.891,105,-38.19,7.95,-29.21,-510,-1737,-4284,-229.94285714285712,-628.0448979591836,-61.624489795918635
15:23:19.961,106,-37.89,8.16,-29.2,-523,-1758,-4279,-242.94285714285712,-649.0448979591836,-56.624489795918635
15:23:20.073,104,-37.6,8.38,-29.19,-545,-1744,-4310,-264.9428571428571,-635.0448979591836,-87.62448979591863
15:23:20.213,105,-28.29,14.94,-27.7,-654,-1409,-4364,-373.9428571428571,-300.0448979591836,-141.62448979591863
15:23:20.287,108,-28.02,15.06,-27.6,-702,-1372,-4339,-421.9428571428571,-263.0448979591836,-116.62448979591863
15:23:20.395,105,-27.71,15.2,-27.51,-733,-1368,-4321,-452.9428571428571,-259.0448979591836,-98.62448979591863
15:23:20.501,101,-27.38,15.35,-27.4,-739,-1375,-4321,-458.9428571428571,-266.0448979591836,-98.62448979591863
15:23:20.567,105,-27.06,15.51,-27.28,-711,-1402,-4304,-430.9428571428571,-293.0448979591836,-81.62448979591863
15:23:20.778,100,-15.95,20.17,-23.59,-742,-1068,-4179,-461.9428571428571,40.95510204081643,43.375510204081365
