timestamp,d,y,p,r,a_x,a_y,a_z
16:27:28.158,524,-137.20,-15.65,-0.41,-1292,-917,-4729
16:27:28.230,528,-137.18,-15.80,-0.39,-270,44,-8840
16:27:28.334,524,-137.16,-15.99,-0.37,387,669,-11501
16:27:28.440,517,-137.15,-16.18,-0.35,836,1100,-13188
16:27:28.512,520,-137.14,-16.38,-0.32,1142,1387,-14251
16:27:28.658,520,-135.77,-23.54,0.76,2185,2603,-15720
16:27:28.764,520,-135.69,-23.78,0.81,2162,2597,-15689
16:27:28.834,518,-135.61,-24.01,0.86,2151,2596,-15647
16:27:28.938,525,-135.53,-24.24,0.92,2160,2612,-15603
16:27:29.042,521,-135.46,-24.51,0.97,2191,2634,-15552
16:27:29.189,525,-132.86,-34.13,2.10,3029,3582,-14948
16:27:29.259,527,-132.73,-34.49,2.14,3043,3587,-14915
16:27:29.366,521,-132.61,-34.85,2.19,3056,3610,-14872
16:27:29.474,522,-132.49,-35.21,2.24,3082,3637,-14833
16:27:29.541,519,32.01,66.58,-16.66,-1417,-3453,-20015
16:27:29.683,521,-126.65,-50.18,4.34,4183,4871,-13222
16:27:29.795,524,-126.37,-50.69,4.36,4205,4940,-13187
16:27:29.871,522,-126.07,-51.20,4.39,4207,4983,-13178
16:27:29.979,522,-125.78,-51.70,4.43,4218,4977,-13175
16:27:30.088,522,-125.49,-52.16,4.46,4229,4967,-13138
16:27:30.225,520,-113.98,-68.86,5.77,5047,5889,-10905
16:27:30.298,523,-113.47,-69.48,5.81,5055,5960,-10831
16:27:30.410,518,-112.94,-70.09,5.85,5065,5984,-10786
16:27:30.480,519,-112.43,-70.67,5.88,5056,5977,-10706
16:27:30.590,523,-111.92,-71.24,5.91,5057,5961,-10627
16:27:30.730,522,-94.72,-82.07,7.36,5225,6287,-7742
16:27:30.841,524,-94.17,-81.75,7.42,5205,6276,-7608
16:27:30.910,521,-93.61,-81.39,7.47,5207,6245,-7494
16:27:31.017,523,-93.05,-80.99,7.51,5212,6240,-7386
16:27:31.085,522,-92.48,-80.54,7.57,5236,6288,-7248
16:27:31.230,529,-77.71,-64.14,7.66,4671,5873,-4683
16:27:31.338,524,-77.33,-63.60,7.64,4647,5815,-4596
16:27:31.443,527,-76.91,-63.02,7.62,4626,5787,-4538
16:27:31.517,524,-76.50,-62.42,7.62,4595,5806,-4480
16:27:31.630,528,-76.10,-61.82,7.62,4573,5813,-4422
16:27:31.810,528,-66.45,-43.89,7.04,3551,4360,-2386
16:27:31.917,519,-66.25,-43.41,7.05,3515,4328,-2321
16:27:31.989,523,-66.06,-42.94,7.07,3477,4353,-2201
16:27:32.093,527,-65.86,-42.46,7.08,3443,4408,-2080
16:27:32.205,526,-65.66,-41.98,7.08,3428,4452,-2000
16:27:32.346,523,-61.75,-30.12,6.10,2566,3258,-1003
16:27:32.417,522,-61.63,-29.76,6.05,2549,3217,-1023
16:27:32.526,523,-61.53,-29.43,6.02,2510,3171,-998
16:27:32.603,525,-61.43,-29.08,5.99,2468,3132,-953
16:27:32.745,521,-59.71,-21.67,5.39,1823,2331,-520
16:27:32.849,522,-59.66,-21.42,5.37,1830,2316,-527
16:27:32.925,519,-59.62,-21.19,5.34,1834,2293,-525
16:27:33.039,528,-59.57,-20.94,5.32,1830,2286,-500
16:27:33.142,525,-59.53,-20.69,5.31,1804,2277,-466
16:27:33.285,531,-58.66,-14.55,4.75,1293,1540,-372
16:27:33.353,525,-58.64,-14.39,4.77,1256,1524,-357
16:27:33.461,525,-58.63,-14.19,4.79,1237,1529,-330
16:27:33.537,524,-58.63,-14.00,4.81,1226,1529,-278
16:27:33.645,527,-58.62,-13.82,4.83,1176,1509,-207
16:27:33.783,526,-58.31,-9.96,4.38,854,1038,-91
16:27:33.887,526,-58.31,-9.85,4.37,816,998,-62
16:27:33.962,527,-58.31,-9.73,4.36,824,982,-57
16:27:34.067,525,-58.29,-9.62,4.36,822,975,-41
16:27:34.250,522,-58.05,-6.96,3.99,592,772,-51
16:27:34.364,523,-58.06,-6.87,3.98,591,778,-43
16:27:34.433,527,-58.06,-6.80,3.97,566,768,-33
16:27:34.545,524,-58.06,-6.75,3.95,561,736,-52
16:27:34.650,525,-58.05,-6.69,3.94,564,711,-92
16:27:34.798,525,-58.05,-4.84,3.84,403,488,-3
16:27:34.871,523,-58.06,-4.79,3.83,392,468,-23
16:27:34.947,530,-58.06,-4.74,3.83,383,455,-29
16:27:35.055,527,-58.07,-4.69,3.83,387,460,-14
16:27:35.160,522,-58.08,-4.64,3.84,373,468,1
16:27:35.304,524,-58.04,-3.31,3.64,274,331,-28
16:27:35.374,526,-58.03,-3.28,3.64,274,336,-33
16:27:35.488,523,-58.04,-3.24,3.65,255,343,-16
16:27:35.559,527,-58.04,-3.19,3.66,261,348,-12
16:27:35.662,521,-58.05,-3.14,3.65,279,359,-11
16:27:35.803,526,-58.03,-2.37,3.54,165,211,82
16:27:35.913,529,-58.01,-2.34,3.53,172,232,87
16:27:35.984,529,-58.01,-2.32,3.51,190,236,53
16:27:36.088,526,-58.01,-2.30,3.50,197,226,18
16:27:36.195,528,-58.01,-2.28,3.50,197,215,-6
16:27:36.338,525,-57.98,-1.70,3.48,139,219,57
