time,distance,yaw,pitch,roll,accel_x,accel_y,accel_z
1552558721.3984299,187.0,-14.7,1.1,-5.68,-85.0,299.0,-4906.0
1552558721.492448,186.0,-14.7,1.02,-5.78,-190.0,767.0,-9164.0
1552558721.582397,186.0,-14.71,0.92,-5.88,-264.0,1084.0,-11846.0
1552558721.676694,189.0,-14.72,0.81,-5.98,-304.0,1301.0,-13450.0
1552558721.7708411,189.0,-14.72,0.73,-6.09,-325.0,1451.0,-14444.0
1552558721.873249,183.0,-14.88,-1.55,-9.78,-557.0,2219.0,-16154.0
1552558721.967509,186.0,-14.89,-1.64,-9.93,-556.0,2235.0,-16158.0
1552558722.06569,189.0,-14.89,-1.75,-10.12,-538.0,2306.0,-16151.0
1552558722.160042,186.0,-14.89,-1.85,-10.3,-555.0,2327.0,-16119.0
1552558722.25426,183.0,-14.89,-1.95,-10.49,-605.0,2289.0,-16072.0
1552558722.368855,185.0,-15.54,-5.35,-16.59,-858.0,3156.0,-15475.0
1552558722.467173,185.0,-15.59,-5.42,-16.93,-768.0,3257.0,-15396.0
1552558722.561435,182.0,-15.62,-5.46,-17.26,-687.0,3369.0,-15427.0
1552558722.655605,184.0,-15.64,-5.49,-17.58,-625.0,3491.0,-15504.0
1552558722.749812,190.0,-15.66,-5.53,-17.89,-542.0,3664.0,-15567.0
1552558722.868543,186.0,-15.71,-9.14,-26.18,-1029.0,4371.0,-15078.0
1552558722.984712,188.0,-15.74,-9.28,-26.49,-1079.0,4311.0,-15047.0
1552558723.070509,188.0,-15.81,-9.42,-26.86,-214.0,-358.0,-7388.0
1552558723.162559,188.0,24.93,-32.18,42.43,17768.0,28804.0,30224.0
1552558723.2515662,182.0,26.0,0.03,-29.19,-4878.0,32445.0,10638.0
1552558723.3804522,188.0,-17.09,-13.99,-40.25,-902.0,6186.0,-13482.0
1552558723.4668438,191.0,-17.15,-14.15,-40.69,-929.0,6192.0,-13397.0
1552558723.557821,184.0,-17.22,-14.32,-41.13,-917.0,6282.0,-13327.0
1552558723.664027,183.0,-17.28,-14.47,-41.61,-909.0,6369.0,-13289.0
