time,distance,yaw,pitch,roll,accel_x,accel_y,accel_z
1552565440.57217,102.0,19.75,16.17,13.39,-765.0,-112.0,341.0
1552565440.666286,104.0,19.78,15.92,13.27,-1782.0,-225.0,3178.0
1552565440.756404,107.0,19.81,15.66,13.15,-2384.0,-288.0,4975.0
1552565440.850525,104.0,19.83,15.42,13.03,-2733.0,-330.0,6113.0
1552565440.940845,104.0,19.86,15.19,12.91,-2915.0,-344.0,6840.0
1552565441.043158,107.0,20.23,10.44,10.59,-1825.0,-241.0,8294.0
1552565441.1373582,105.0,20.24,10.31,10.52,-1778.0,-238.0,8300.0
1552565441.2276978,105.0,20.24,10.2,10.46,-1742.0,-233.0,8303.0
1552565441.317539,106.0,20.25,10.07,10.41,-1706.0,-230.0,8306.0
1552565441.411851,104.0,20.26,9.96,10.35,-1661.0,-229.0,8312.0
1552565441.510189,106.0,20.28,7.67,9.21,-917.0,-156.0,8371.0
1552565441.60007,105.0,20.27,7.61,9.18,-900.0,-159.0,8371.0
1552565441.686144,110.0,20.28,7.55,9.14,-886.0,-153.0,8371.0
1552565441.776281,107.0,20.27,7.49,9.12,-871.0,-151.0,8372.0
1552565441.8662999,104.0,20.27,7.44,9.09,-850.0,-149.0,8373.0
1552565441.97708,107.0,20.14,6.34,8.55,-495.0,-110.0,8388.0
1552565442.062915,105.0,20.14,6.3,8.53,-481.0,-107.0,8389.0
1552565442.1690052,104.0,20.13,6.28,8.52,-471.0,-107.0,8390.0
1552565442.2622972,106.0,20.13,6.25,8.5,-457.0,-111.0,8391.0
1552565442.3366752,104.0,20.12,6.23,8.49,-453.0,-113.0,8390.0
1552565442.445098,106.0,19.94,5.69,8.23,-282.0,-91.0,8394.0
1552565442.54596,107.0,19.93,5.68,8.22,-280.0,-91.0,8394.0
1552565442.6232462,106.0,19.92,5.66,8.22,-277.0,-95.0,8393.0
1552565442.702253,106.0,19.91,5.65,8.21,-275.0,-94.0,8393.0
1552565442.800399,103.0,19.91,5.64,8.21,-271.0,-92.0,8393.0
1552565442.910399,104.0,19.7,5.39,8.08,-184.0,-88.0,8395.0
1552565442.9858,103.0,19.69,5.38,8.08,-178.0,-90.0,8395.0
1552565443.074008,101.0,19.68,5.38,8.08,-172.0,-90.0,8395.0
1552565443.162772,102.0,19.67,5.37,8.07,-169.0,-93.0,8395.0
1552565443.2621062,103.0,19.66,5.37,8.07,-168.0,-94.0,8396.0
1552565443.344954,102.0,19.44,5.25,8.02,-140.0,-80.0,8395.0
1552565443.426781,105.0,19.43,5.24,8.01,-135.0,-84.0,8395.0
1552565443.5130491,103.0,19.42,5.24,8.01,-131.0,-89.0,8395.0
1552565443.602987,102.0,19.42,5.24,8.01,-129.0,-88.0,8395.0
1552565443.689077,103.0,19.4,5.24,8.01,-130.0,-87.0,8396.0
1552565443.787269,104.0,19.18,5.18,7.98,-114.0,-82.0,8396.0
1552565443.873315,103.0,19.17,5.18,7.98,-114.0,-77.0,8396.0
1552565443.9634628,103.0,19.16,5.17,7.97,-111.0,-73.0,8397.0
1552565444.053422,103.0,19.16,5.17,7.97,-4836.0,-3361.0,26539.0
1552565444.15194,107.0,161.53,34.5,55.48,16706.0,-12161.0,-3357.0
1552565444.250082,102.0,18.91,5.14,7.96,-109.0,-76.0,8396.0
1552565444.336104,104.0,18.9,5.14,7.96,-107.0,-80.0,8395.0
1552565444.4264262,104.0,18.89,5.14,7.96,-106.0,-83.0,8395.0
1552565444.512359,103.0,18.88,5.14,7.96,-101.0,-80.0,8396.0
1552565444.6022882,106.0,18.87,5.14,7.96,-100.0,-74.0,8397.0
1552565444.700563,104.0,18.64,5.13,7.94,-102.0,-74.0,8396.0
1552565444.786795,104.0,18.63,5.13,7.94,-108.0,-80.0,8394.0
1552565444.8736708,102.0,18.62,5.13,7.94,-97.0,-79.0,8395.0
1552565444.961478,100.0,18.61,5.13,7.94,-93.0,-78.0,8397.0
1552565445.048759,103.0,18.6,5.13,7.94,-92.0,-76.0,8397.0
1552565445.1554391,107.0,18.37,5.13,7.94,-98.0,-81.0,8395.0
1552565445.241489,101.0,18.36,5.13,7.94,-99.0,-78.0,8395.0
1552565445.327411,106.0,18.35,5.12,7.94,-98.0,-72.0,8396.0
1552565445.417343,101.0,18.34,5.12,7.95,-101.0,-74.0,8396.0
1552565445.503545,106.0,18.33,5.12,7.95,-102.0,-77.0,8395.0
