time,distance,yaw,pitch,roll,accel_x,accel_y,accel_z
1552556819.796581,208.0,29.09,8.37,-0.52,182.0,91.0,-4346.0
1552556819.886708,205.0,29.09,8.48,-0.54,517.0,308.0,-8718.0
1552556819.9727402,207.0,29.11,8.58,-0.52,746.0,448.0,-11550.0
1552556820.062937,209.0,29.11,8.66,-0.49,891.0,555.0,-13328.0
1552556820.1531122,208.0,29.11,8.74,-0.44,987.0,643.0,-14440.0
1552556820.255771,210.0,29.4,11.69,-0.37,1566.0,872.0,-16197.0
1552556820.3495831,208.0,29.44,11.83,-0.39,1592.0,814.0,-16162.0
1552556820.440138,210.0,29.44,11.97,-0.4,1615.0,808.0,-16152.0
1552556820.533963,207.0,29.45,12.12,-0.4,1625.0,833.0,-16150.0
1552556820.624331,209.0,29.46,12.26,-0.41,1624.0,887.0,-16155.0
1552556820.7389219,211.0,30.08,17.0,-0.43,2181.0,1126.0,-15984.0
1552556820.8328671,209.0,30.09,17.19,-0.46,2182.0,1196.0,-15999.0
1552556820.92704,211.0,30.12,17.4,-0.5,2213.0,1257.0,-15997.0
1552556821.017226,209.0,30.16,17.61,-0.54,2268.0,1274.0,-16026.0
1552556821.111458,207.0,30.2,17.81,-0.55,2318.0,1279.0,-16041.0
1552556821.21388,207.0,31.06,23.91,0.13,3032.0,1455.0,-15555.0
1552556821.3039172,209.0,31.09,24.16,0.15,3042.0,1476.0,-15528.0
1552556821.399016,209.0,31.13,24.42,0.18,3044.0,1556.0,-15543.0
1552556821.4911501,204.0,31.18,24.7,0.21,3092.0,1568.0,-15626.0
1552556821.594622,210.0,31.21,24.95,0.26,3146.0,1569.0,-15712.0
1552556821.699378,208.0,33.51,33.2,0.7,4098.0,1946.0,-15094.0
1552556821.778381,208.0,33.62,33.53,0.72,4111.0,1939.0,-15080.0
1552556821.871684,209.0,33.73,33.85,0.75,4104.0,1930.0,-15012.0
1552556821.96268,205.0,33.83,34.18,0.76,4092.0,1921.0,-14928.0
1552556822.067062,206.0,33.93,34.52,0.77,4094.0,1924.0,-14856.0
1552556822.1669388,204.0,38.83,46.44,0.79,5302.0,2822.0,-13834.0
1552556822.267222,201.0,39.13,46.93,0.76,5361.0,2830.0,-13816.0
1552556822.355031,209.0,39.4,47.41,0.77,5394.0,2791.0,-13760.0
1552556822.443945,211.0,39.67,47.87,0.81,5392.0,2756.0,-13655.0
1552556822.534992,206.0,39.95,48.36,0.83,5399.0,2744.0,-13575.0
1552556822.642357,206.0,51.09,63.19,0.93,6475.0,3435.0,-11849.0
1552556822.7299259,204.0,51.72,63.81,0.93,6530.0,3445.0,-11808.0
1552556822.812971,204.0,52.36,64.4,0.93,6559.0,3468.0,-11760.0
1552556822.905802,210.0,53.01,65.0,0.92,6588.0,3479.0,-11692.0
1552556823.0009348,207.0,53.66,65.59,0.92,6606.0,3468.0,-11608.0
1552556823.1231449,209.0,79.57,83.57,1.03,7163.0,3796.0,-9051.0
1552556823.2095811,208.0,80.81,84.25,1.03,7240.0,3804.0,-8965.0
1552556823.293261,205.0,82.04,84.93,1.02,7315.0,3841.0,-8881.0
1552556823.39278,207.0,83.22,85.58,1.03,7328.0,3868.0,-8787.0
1552556823.488456,206.0,84.34,86.19,1.02,7271.0,3897.0,-8670.0
1552556823.583056,211.0,115.09,75.89,1.14,6974.0,3733.0,-6194.0
1552556823.669872,208.0,116.03,75.24,1.15,6948.0,3742.0,-6104.0
1552556823.7655208,208.0,116.95,74.6,1.14,6961.0,3741.0,-6004.0
1552556823.87117,206.0,117.86,73.95,1.16,6966.0,3736.0,-5899.0
1552556823.942529,207.0,118.72,73.3,1.17,6925.0,3727.0,-5789.0
1552556824.0606852,206.0,136.01,56.7,1.18,6090.0,3244.0,-3717.0
1552556824.16099,208.0,136.45,56.15,1.16,6040.0,3264.0,-3634.0
1552556824.2536478,204.0,136.87,55.61,1.15,5936.0,3259.0,-3580.0
1552556824.344192,205.0,137.23,55.07,1.15,5906.0,3252.0,-3509.0
1552556824.4260638,206.0,137.58,54.52,1.16,5915.0,3204.0,-3428.0
1552556824.5438762,206.0,144.82,41.17,1.17,4739.0,2635.0,-2067.0
1552556824.636537,202.0,144.99,40.75,1.13,4632.0,2670.0,-2024.0
1552556824.730121,204.0,145.17,40.32,1.11,4569.0,2680.0,-1981.0
1552556824.824152,205.0,145.35,39.9,1.1,4548.0,2631.0,-1951.0
1552556824.909863,210.0,145.55,39.47,1.1,4551.0,2556.0,-1930.0
1552556825.0261261,207.0,148.59,28.96,1.18,3440.0,1985.0,-1119.0
1552556825.112622,207.0,148.67,28.64,1.15,3388.0,1969.0,-1097.0
1552556825.20551,207.0,148.75,28.29,1.15,3395.0,1966.0,-1019.0
1552556825.309628,202.0,148.83,27.95,1.14,3419.0,1967.0,-926.0
1552556825.3949661,209.0,148.91,27.63,1.14,3400.0,1947.0,-899.0
1552556825.504781,210.0,150.15,20.14,1.19,2418.0,1477.0,-563.0
1552556825.595026,206.0,150.17,19.9,1.21,2407.0,1467.0,-518.0
1552556825.68294,203.0,150.21,19.66,1.19,2384.0,1477.0,-472.0
1552556825.7789261,206.0,150.25,19.45,1.15,2331.0,1484.0,-445.0
1552556825.871413,203.0,150.28,19.23,1.14,2280.0,1492.0,-432.0
