time,distance,yaw,pitch,roll,accel_x,accel_y,accel_z
1552557392.031423,213.0,16.09,6.6,-4.92,70.0,236.0,-4346.0
1552557392.117228,214.0,16.1,6.65,-5.03,232.0,685.0,-8618.0
1552557392.211424,215.0,16.1,6.73,-5.12,-7464.0,27369.0,-9220.0
1552557392.3098722,212.0,109.88,-15.73,-12.37,-11809.0,-3935.0,-7275.0
1552557392.4080331,215.0,-23.81,27.08,-9.54,-12030.0,-11075.0,-32607.0
1552557392.518662,213.0,16.3,8.79,-9.27,579.0,2096.0,-16171.0
1552557392.612821,211.0,16.32,8.87,-9.4,588.0,2105.0,-16129.0
1552557392.7029362,210.0,16.31,8.96,-9.58,578.0,2162.0,-16108.0
1552557392.793061,215.0,16.3,9.04,-9.75,566.0,2196.0,-16093.0
1552557392.8833148,214.0,16.29,9.11,-9.92,581.0,2265.0,-16020.0
1552557392.9896472,211.0,16.45,11.83,-15.67,788.0,3216.0,-15822.0
1552557393.079721,215.0,16.48,11.94,-15.94,779.0,3251.0,-15852.0
1552557393.173989,217.0,16.5,12.05,-16.23,769.0,3270.0,-15825.0
1552557393.268109,214.0,16.51,12.14,-16.47,763.0,3277.0,-15750.0
1552557393.358316,215.0,16.54,12.25,-16.7,767.0,3277.0,-15672.0
1552557393.4649222,214.0,17.22,15.94,-25.06,967.0,4500.0,-14976.0
1552557393.554879,221.0,17.25,16.09,-25.41,983.0,4542.0,-14924.0
1552557393.660533,215.0,17.29,16.24,-25.78,1002.0,4604.0,-14933.0
1552557393.7521589,213.0,17.32,16.39,-26.14,1013.0,4675.0,-14954.0
1552557393.847691,215.0,17.36,16.53,-26.49,1027.0,4714.0,-14923.0
1552557393.968354,212.0,18.89,20.98,-37.86,1313.0,6146.0,-13481.0
1552557394.045717,217.0,18.96,21.14,-38.31,1304.0,6171.0,-13417.0
1552557394.142091,216.0,19.02,21.29,-38.74,1311.0,6213.0,-13401.0
1552557394.231704,216.0,19.1,21.44,-39.14,1314.0,6282.0,-13335.0
