time,distance,yaw,pitch,roll,accel_x,accel_y,accel_z
1552557597.707849,8190.0,51.68,4.55,14.37,5574.0,-21891.0,23994.0
1552557597.785656,8190.0,-156.9,25.74,59.82,11295.0,1052.0,-6937.0
1552557597.867477,8190.0,-154.28,25.45,59.34,13187.0,1176.0,-6338.0
1552557597.9453702,8190.0,-152.16,25.14,58.8,14336.0,1311.0,-5846.0
1552557598.0232708,8190.0,-150.09,24.74,58.24,15022.0,1344.0,-5333.0
1552557598.1010718,8190.0,-148.31,24.29,57.68,15391.0,1351.0,-4775.0
1552557598.191649,8190.0,-133.26,16.09,40.03,12419.0,1048.0,2705.0
1552557598.2691462,8190.0,-132.8,15.88,39.22,12164.0,937.0,2987.0
1552557598.3427231,8190.0,-132.45,15.73,38.44,11927.0,875.0,3229.0
1552557598.4204748,8190.0,-132.13,15.56,37.65,11755.0,823.0,3404.0
1552557598.498228,8190.0,-131.79,15.31,36.78,11611.0,802.0,3549.0
1552557598.5721521,8190.0,-131.32,15.01,35.8,11422.0,719.0,3742.0
1552557598.6583931,8190.0,-126.4,3.02,16.07,6397.0,413.0,7124.0
1552557598.73188,8190.0,-126.3,2.68,15.6,6276.0,407.0,7180.0
1552557598.809559,8190.0,-126.19,2.38,15.1,6123.0,372.0,7245.0
1552557598.883313,8190.0,-126.08,2.11,14.55,5983.0,355.0,7303.0
1552557598.957102,8190.0,-125.98,1.87,14.08,5822.0,334.0,7362.0
1552557599.030719,8190.0,-125.9,1.6,13.69,5648.0,307.0,7421.0
1552557599.1166809,8190.0,-125.78,-3.72,5.27,3130.0,294.0,8147.0
1552557599.190486,8190.0,-125.77,-3.9,5.03,3123.0,325.0,8158.0
1552557599.2682729,8190.0,-125.69,-4.11,4.77,3033.0,306.0,8178.0
1552557599.348705,8190.0,-125.63,-4.29,4.53,2908.0,242.0,8201.0
1552557599.42845,8190.0,-125.6,-4.42,4.39,2774.0,179.0,8219.0
1552557599.512189,8190.0,-125.61,-4.54,4.33,2722.0,225.0,8222.0
1552557599.584809,8190.0,-179.98,-12.75,-4.92,4524.0,2276.0,-6776.0
1552557599.6873112,8190.0,-126.06,-6.92,2.72,1626.0,240.0,8353.0
1552557599.774367,8190.0,-126.09,-6.96,2.7,1613.0,245.0,8353.0
