time,distance,yaw,pitch,roll,accel_x,accel_y,accel_z
1552558158.4523258,233.0,-3.06,3.15,-3.78,-15.0,146.0,-4388.0
1552558158.542529,230.0,-3.05,3.16,-3.83,-38.0,398.0,-8762.0
1552558158.632597,234.0,-3.06,3.13,-3.9,-36.0,610.0,-11581.0
1552558158.722633,237.0,-3.74,0.0,0.0,155.0,-1466.0,-14116.0
1552558158.817299,237.0,51.71,79.18,10.05,-28236.0,-14722.0,15470.0
1552558158.9192672,235.0,-3.07,2.88,-6.96,-15.0,1408.0,-16204.0
1552558159.0093381,239.0,-3.08,2.87,-7.06,-5.0,1429.0,-16239.0
1552558159.099487,236.0,-3.08,2.87,-7.18,0.0,1438.0,-16263.0
1552558159.185502,236.0,-3.08,2.87,-7.29,-6.0,1436.0,-16317.0
1552558159.275581,239.0,-3.1,2.84,-7.4,-9.0,1454.0,-16297.0
1552558159.390263,236.0,-2.96,1.94,-11.21,-129.0,2164.0,-16289.0
1552558159.484704,237.0,-2.93,1.86,-11.38,-152.0,2163.0,-16274.0
1552558159.578615,241.0,-2.89,1.76,-11.55,-189.0,2130.0,-16223.0
1552558159.668726,239.0,-2.86,1.66,-11.67,-230.0,2098.0,-16138.0
1552558159.76298,242.0,-2.83,1.57,-11.77,-260.0,2104.0,-16026.0
1552558159.869289,241.0,-2.97,-1.05,-18.17,-765.0,3022.0,-15766.0
1552558159.96358,240.0,-3.01,-1.17,-18.44,-749.0,3152.0,-15724.0
1552558160.070027,242.0,-3.02,-1.28,-18.75,-740.0,3220.0,-15665.0
1552558160.1551611,246.0,-3.02,-1.39,-19.06,-765.0,3219.0,-15675.0
1552558160.242111,244.0,-3.01,-1.46,-19.28,-787.0,3197.0,-15715.0
1552558160.359154,244.0,-4.01,-4.76,-27.81,-1253.0,4305.0,-15143.0
1552558160.464385,243.0,-4.07,-4.93,-28.19,-1279.0,4376.0,-15120.0
1552558160.551306,245.0,-4.13,-5.11,-28.53,-1312.0,4427.0,-15057.0
1552558160.650964,247.0,-4.18,-5.28,-28.87,-1332.0,4480.0,-15000.0
1552558160.737306,248.0,-4.21,-5.41,-29.21,-1362.0,4485.0,-14922.0
1552558160.836009,243.0,-6.11,-9.97,-38.25,-1977.0,5317.0,-14080.0
1552558160.941555,245.0,-6.21,-10.13,-38.68,-1964.0,5404.0,-14006.0
1552558161.0480819,245.0,-6.32,-10.27,-39.26,-2012.0,5476.0,-14017.0
1552558161.130103,243.0,-6.45,-10.45,-39.88,-2063.0,5545.0,-13996.0
1552558161.236747,248.0,-6.57,-10.64,-40.43,-2097.0,5577.0,-13889.0
1552558161.341272,246.0,-11.04,-15.9,-54.22,-2607.0,6848.0,-11855.0
1552558161.432169,243.0,-11.22,-16.07,-54.69,-2663.0,6914.0,-11819.0
1552558161.543919,246.0,-11.4,-16.25,-55.14,-2727.0,6898.0,-11762.0
1552558161.635006,247.0,-11.62,-16.45,-55.59,-2740.0,6853.0,-11633.0
1552558161.723719,249.0,-11.85,-16.63,-56.07,-2757.0,6870.0,-11545.0
1552558161.846283,248.0,-18.41,-20.88,-66.76,-3080.0,7586.0,-8933.0
1552558161.937172,247.0,-18.63,-20.97,-66.95,-3058.0,7518.0,-8815.0
1552558162.028876,244.0,-18.84,-21.04,-67.14,-3072.0,7542.0,-8736.0
1552558162.1165109,246.0,-19.06,-21.12,-67.33,-3109.0,7604.0,-8652.0
1552558162.220371,248.0,-19.31,-21.2,-67.5,-3128.0,7618.0,-8565.0
1552558162.331975,252.0,-26.86,-22.65,-63.82,-3063.0,7330.0,-5745.0
1552558162.420737,249.0,-27.11,-22.65,-63.47,-3059.0,7295.0,-5666.0
1552558162.52403,246.0,-27.36,-22.65,-63.11,-3028.0,7252.0,-5565.0
1552558162.6126761,247.0,-27.6,-22.64,-62.75,-2997.0,7191.0,-5474.0
1552558162.710167,248.0,-27.82,-22.62,-62.42,-3000.0,7158.0,-5401.0
1552558162.842288,248.0,-34.37,-21.47,-49.65,-2687.0,6065.0,-3206.0
1552558162.920084,252.0,-34.58,-21.39,-49.18,-2687.0,5966.0,-3168.0
1552558163.012365,250.0,-34.78,-21.33,-48.73,-2654.0,5856.0,-3131.0
1552558163.1187232,248.0,-34.96,-21.26,-48.27,-2636.0,5813.0,-3062.0
1552558163.2053509,258.0,-35.15,-21.21,-47.8,-2593.0,5813.0,-2971.0
1552558163.323797,251.0,-39.35,-18.59,-35.84,-1985.0,4459.0,-1584.0
1552558163.4215171,254.0,-39.44,-18.5,-35.49,-1972.0,4428.0,-1544.0
1552558163.513506,250.0,-39.53,-18.41,-35.18,-2010.0,4398.0,-1532.0
1552558163.615309,256.0,-39.64,-18.33,-34.87,-2001.0,4330.0,-1493.0
1552558163.705079,250.0,-39.73,-18.23,-34.56,-1994.0,4279.0,-1474.0
1552558163.813615,251.0,-42.3,-15.75,-25.43,-1620.0,3278.0,-751.0
1552558163.915224,255.0,-42.37,-15.65,-25.2,-1550.0,3164.0,-817.0
1552558164.0074399,255.0,-42.42,-15.59,-24.99,-1499.0,3089.0,-835.0
1552558164.111766,255.0,-42.47,-15.53,-24.77,-1509.0,3075.0,-816.0
1552558164.204443,252.0,-42.54,-15.5,-24.5,-1557.0,3108.0,-772.0
1552558164.308199,249.0,-43.73,-13.47,-17.67,-1057.0,2275.0,-315.0
1552558164.4061,251.0,-43.76,-13.39,-17.46,-976.0,2176.0,-366.0
1552558164.5048268,249.0,-43.78,-13.33,-17.28,-932.0,2105.0,-411.0
1552558164.605427,251.0,-43.8,-13.28,-17.12,-945.0,2097.0,-418.0
1552558164.6980422,252.0,-43.81,-13.24,-16.91,-946.0,2113.0,-356.0
1552558164.805671,254.0,-44.55,-11.57,-12.39,-643.0,1447.0,-127.0
1552558164.892977,251.0,-44.57,-11.52,-12.22,-676.0,1456.0,-89.0
1552558164.9907908,256.0,-44.58,-11.47,-12.08,-744.0,1494.0,-56.0
1552558165.086853,255.0,-44.61,-11.4,-11.95,-775.0,1479.0,-44.0
1552558165.171902,252.0,-44.65,-11.33,-11.85,-757.0,1427.0,-133.0
1552558165.288566,255.0,-45.14,-10.2,-8.74,-535.0,1027.0,50.0
1552558165.367785,251.0,-45.15,-10.15,-8.66,-482.0,956.0,-5.0
1552558165.462573,252.0,-45.14,-10.12,-8.59,-454.0,926.0,-48.0
1552558165.555727,256.0,-45.12,-10.11,-8.52,-490.0,942.0,4.0
1552558165.6460319,259.0,-45.12,-10.08,-8.4,-517.0,949.0,61.0
1552558165.76159,256.0,-45.2,-9.31,-6.44,-424.0,595.0,-56.0
1552558165.843381,252.0,-45.2,-9.32,-6.33,-446.0,631.0,30.0
1552558165.9229262,257.0,-45.21,-9.32,-6.2,-476.0,678.0,132.0
1552558166.021579,257.0,-45.24,-9.28,-6.13,-425.0,663.0,127.0
1552558166.1127732,253.0,-45.24,-9.26,-6.11,-409.0,646.0,89.0
1552558166.217932,259.0,-45.43,-8.69,-4.64,-306.0,409.0,131.0
1552558166.30655,253.0,-45.45,-8.64,-4.62,-293.0,382.0,34.0
1552558166.396124,254.0,-45.46,-8.62,-4.59,-279.0,357.0,-10.0
1552558166.484565,256.0,-45.46,-8.62,-4.54,-287.0,356.0,-7.0
1552558166.574763,258.0,-45.47,-8.62,-4.5,-292.0,356.0,-20.0
1552558166.660126,257.0,-45.52,-8.46,-3.56,-259.0,248.0,155.0
1552558166.75533,257.0,-45.53,-8.43,-3.45,-250.0,254.0,221.0
1552558166.849569,250.0,-45.53,-8.41,-3.37,-255.0,244.0,199.0
1552558166.9325728,256.0,-45.52,-8.39,-3.36,-287.0,251.0,167.0
1552558167.0294871,255.0,-45.53,-8.37,-3.35,-282.0,244.0,144.0
1552558167.127996,255.0,-45.77,-8.17,-2.56,-144.0,125.0,133.0
1552558167.215904,256.0,-45.78,-8.14,-2.57,-151.0,86.0,1.0
1552558167.312879,258.0,-45.78,-8.15,-2.6,-164.0,85.0,-41.0
1552558167.3962429,254.0,-45.78,-8.18,-2.62,-169.0,122.0,22.0
1552558167.4887948,258.0,-45.78,-8.21,-2.58,-173.0,164.0,141.0
1552558167.584983,252.0,-45.83,-8.07,-1.89,-114.0,50.0,161.0
1552558167.671223,255.0,-45.83,-8.04,-1.91,-111.0,41.0,171.0
1552558167.764543,259.0,-45.83,-8.02,-1.9,-89.0,21.0,179.0
1552558167.84434,254.0,-45.85,-7.99,-1.88,-33.0,-12.0,172.0
1552558167.940542,255.0,-45.84,-7.97,-1.85,-9.0,-56.0,90.0
1552558168.056724,258.0,-45.96,-7.9,-1.6,-45.0,-59.0,15.0
1552558168.125813,252.0,-45.97,-7.9,-1.56,-47.0,-29.0,83.0
1552558168.227196,258.0,-45.97,-7.89,-1.51,-100.0,14.0,172.0
1552558168.306536,258.0,-46.0,-7.85,-1.47,-102.0,0.0,174.0
1552558168.394659,256.0,-46.01,-7.81,-1.52,-100.0,-38.0,22.0
1552558168.509108,259.0,-45.96,-7.81,-1.16,-144.0,-107.0,140.0
1552558168.58911,258.0,-45.97,-7.8,-1.14,-121.0,-101.0,205.0
1552558168.682731,262.0,-45.98,-7.77,-1.14,-98.0,-117.0,160.0
1552558168.773408,259.0,-45.98,-7.73,-1.19,-82.0,-139.0,138.0
1552558168.8505359,258.0,-45.98,-7.7,-1.24,-80.0,-157.0,109.0
1552558168.967136,259.0,-45.89,-7.71,-1.33,-200.0,-92.0,129.0
1552558169.047072,259.0,-45.87,-7.7,-1.34,-219.0,-106.0,65.0
1552558169.138637,260.0,-45.86,-7.72,-1.31,-226.0,-114.0,18.0
1552558169.229821,262.0,-45.86,-7.76,-1.31,-206.0,-116.0,16.0
1552558169.32363,258.0,-45.86,-7.8,-1.3,-177.0,-116.0,60.0
1552558169.4349482,257.0,-45.91,-7.93,-1.13,-174.0,-123.0,64.0
1552558169.527068,257.0,-45.91,-7.96,-1.09,-175.0,-110.0,63.0
1552558169.6161401,254.0,-45.91,-7.97,-1.05,-171.0,-89.0,120.0
1552558169.70818,260.0,-45.91,-7.99,-1.02,-182.0,-72.0,188.0
1552558169.7893791,256.0,-45.92,-7.97,-1.04,-158.0,-88.0,175.0
1552558169.8801548,259.0,-45.98,-7.91,-0.88,-85.0,-196.0,-73.0
1552558169.969549,262.0,-45.97,-7.96,-0.85,-92.0,-191.0,-47.0
1552558170.068534,261.0,-45.97,-7.99,-0.83,-93.0,-160.0,65.0
1552558170.164483,259.0,-45.98,-7.98,-0.85,-56.0,-173.0,118.0
1552558170.244663,255.0,-45.97,-7.97,-0.87,-42.0,-177.0,85.0
1552558170.357812,256.0,-45.84,-8.05,-0.75,-91.0,-173.0,69.0
1552558170.44979,262.0,-45.84,-8.06,-0.77,-43.0,-198.0,22.0
1552558170.5328262,253.0,-45.83,-8.08,-0.73,-29.0,-215.0,16.0
1552558170.629954,258.0,-45.81,-8.11,-0.68,-67.0,-199.0,62.0
1552558170.7133,259.0,-45.8,-8.14,-0.64,-97.0,-180.0,108.0
