timestamp,d,y,p,r,a_x,a_y,a_z
16:55:07.487,526,17.52,5.49,0.40,-334,-40,4348
16:55:07.592,537,17.51,5.54,0.42,-595,-8,8690
16:55:07.698,527,17.52,5.57,0.43,-761,-4,11533
16:55:07.767,533,17.53,5.60,0.44,-860,-2,13337
16:55:07.876,526,17.54,5.63,0.43,-910,2,14484
16:55:08.017,528,17.50,7.19,1.36,-1245,-36,16282
16:55:08.125,524,17.50,7.24,1.39,-1297,-48,16285
16:55:08.199,524,17.49,7.29,1.43,-1303,-45,16277
16:55:08.306,531,17.49,7.34,1.46,-1252,-65,16232
16:55:08.411,527,17.48,7.43,1.48,-1212,-85,16183
16:55:08.555,517,17.42,9.90,2.41,-1633,-206,16291
16:55:08.624,528,17.42,10.01,2.45,-1625,-214,16276
16:55:08.731,528,17.41,10.12,2.50,-1647,-215,16266
16:55:08.806,526,17.41,10.23,2.55,-1675,-241,16216
16:55:08.914,532,17.42,10.34,2.57,-1697,-276,16176
16:55:09.059,531,17.51,14.14,4.16,-2204,-431,16094
16:55:09.130,529,17.51,14.28,4.22,-2227,-443,16080
16:55:09.237,529,17.50,14.41,4.27,-2236,-450,16084
16:55:09.344,531,17.49,14.57,4.32,-2243,-476,16073
16:55:09.417,532,17.49,14.75,4.35,-2286,-502,16086
16:55:09.557,529,17.52,20.13,6.89,-2987,-754,15786
16:55:09.663,523,17.51,20.35,6.98,-2998,-758,15788
16:55:09.773,524,17.49,20.58,7.07,-3022,-803,15783
16:55:09.847,529,17.48,20.82,7.15,-3099,-837,15788
16:55:09.956,529,17.47,21.04,7.22,-3178,-853,15806
16:55:10.099,529,17.15,28.64,10.71,-4184,-1305,15171
16:55:10.166,527,17.14,28.92,10.85,-4214,-1314,15147
16:55:10.269,527,17.12,29.20,10.99,-4223,-1345,15100
16:55:10.375,528,17.11,29.49,11.12,-4228,-1383,15060
16:55:10.521,527,16.29,38.28,14.77,-5273,-1858,14273
16:55:10.592,529,16.24,38.66,14.93,-5330,-1896,14196
16:55:10.697,522,16.19,39.02,15.08,-5376,-1942,14110
16:55:10.770,523,16.15,39.40,15.21,-5425,-1943,14075
16:55:10.875,528,16.10,39.77,15.36,-5474,-1932,14077
16:55:11.022,530,12.83,52.07,20.15,-6695,-2561,12362
16:55:11.127,528,12.64,52.49,20.30,-6741,-2588,12319
16:55:11.198,529,12.44,52.91,20.45,-6773,-2640,12218
16:55:11.304,531,12.24,53.33,20.60,-6804,-2653,12122
16:55:11.406,524,12.05,53.75,20.75,-6833,-2657,12037
16:55:11.550,524,-10.75,63.94,24.41,-7556,-3113,9396
16:55:11.621,532,-12.92,64.12,24.48,-7547,-3133,9288
16:55:11.730,522,-15.29,64.27,24.54,-7579,-3132,9193
16:55:11.837,531,-17.96,64.40,24.61,-7597,-3128,9098
16:55:11.911,528,-20.93,64.52,24.68,-7592,-3122,9005
16:55:12.060,533,-131.02,60.99,24.87,-7382,-3195,6191
16:55:12.167,530,-131.94,60.66,24.83,-7366,-3201,6092
16:55:12.237,529,-132.80,60.32,24.79,-7329,-3171,6017
16:55:12.342,528,-133.60,59.97,24.74,-7282,-3146,5941
16:55:12.447,532,-134.33,59.61,24.69,-7261,-3121,5881
16:55:12.584,535,-143.64,47.20,21.81,-6239,-2842,3505
16:55:12.684,533,-143.77,46.77,21.69,-6202,-2793,3474
16:55:12.751,531,-143.88,46.32,21.56,-6152,-2748,3427
16:55:12.858,534,-143.96,45.86,21.43,-6096,-2721,3343
16:55:13.006,537,-145.70,35.26,17.92,-5012,-2300,2066
16:55:13.081,530,-145.73,34.86,17.78,-4943,-2308,1988
16:55:13.186,529,-145.76,34.47,17.65,-4907,-2256,1955
16:55:13.294,529,-145.78,34.08,17.52,-4865,-2191,1932
16:55:13.366,524,-145.77,33.70,17.39,-4797,-2167,1888
16:55:13.504,526,-146.24,24.00,13.57,-3554,-1649,999
16:55:13.604,530,-146.24,23.71,13.44,-3523,-1620,997
16:55:13.710,523,-146.25,23.40,13.31,-3513,-1602,993
16:55:13.785,525,-146.24,23.11,13.18,-3522,-1598,960
16:55:13.897,531,-146.23,22.84,13.06,-3493,-1587,915
16:55:14.043,533,-146.35,15.81,9.89,-2430,-1143,394
16:55:14.114,527,-146.36,15.60,9.80,-2405,-1121,424
16:55:14.226,527,-146.37,15.38,9.70,-2432,-3032,-24946
16:55:14.332,532,43.73,-65.87,16.36,31169,15310,18552
16:55:14.402,533,45.44,-9.26,-54.94,-8630,-6287,10468
16:55:14.540,532,-146.23,10.00,7.40,-1645,-781,241
16:55:14.648,528,-146.23,9.89,7.33,-1573,-745,290
16:55:14.724,529,-146.24,9.74,7.24,-1532,-714,313
16:55:14.832,521,-146.25,9.53,7.12,-1500,-711,263
16:55:14.939,531,-146.26,9.30,6.99,-1431,-705,228
16:55:15.080,525,-146.34,5.96,5.54,-1117,-525,28
16:55:15.154,529,-146.35,5.88,5.53,-1153,-499,63
16:55:15.264,531,-146.32,5.83,5.51,-1124,-480,92
16:55:15.335,524,-146.31,5.78,5.49,-1068,-467,110
16:55:15.480,527,-146.24,3.94,4.67,-816,-308,122
16:55:15.586,534,-146.23,3.87,4.63,-790,-296,113
16:55:15.693,526,-146.21,3.80,4.58,-767,-297,89
16:55:15.763,521,-146.20,3.76,4.53,-712,-304,63
16:55:15.878,526,-146.20,3.72,4.50,-656,-305,37
16:55:15.993,529,-146.25,2.26,3.86,-548,-210,-28
16:55:16.098,527,-146.25,2.22,3.86,-531,-207,-7
16:55:16.204,523,-146.25,2.18,3.86,-501,-210,6
16:55:16.274,525,-146.26,2.14,3.86,-477,-201,24
16:55:16.376,529,-146.27,2.10,3.85,-464,-189,41
16:55:16.518,530,-146.25,1.19,3.63,-349,-227,85
16:55:16.627,527,-146.24,1.14,3.62,-364,-205,113
16:55:16.701,537,-146.24,1.09,3.60,-390,-206,126
16:55:16.812,529,-146.23,1.05,3.58,-418,-204,125
16:55:16.949,533,-146.16,0.31,3.09,-277,-154,56
16:55:17.054,531,-146.15,0.29,3.08,-268,-147,80
16:55:17.127,531,-146.13,0.26,3.06,-252,-136,92
16:55:17.237,525,-146.13,0.25,3.03,-239,-119,85
16:55:17.311,520,-146.12,0.23,2.99,-197,-135,64
16:55:17.453,532,-146.11,-0.14,2.57,-217,-122,-57
16:55:17.557,527,-146.11,-0.17,2.59,-255,-115,-7
