timestamp,d,y,p,r,a_x,a_y,a_z
17:25:19.828,442,-26.48,2.90,-0.09,-1294,-324,156
17:25:19.900,438,-26.45,2.91,-0.05,-1325,-306,283
17:25:20.040,431,-26.03,-2.17,-3.45,-167,212,132
17:25:20.146,433,-26.18,-2.41,-3.56,-339,159,80
17:25:20.252,431,-26.41,-2.55,-3.67,-536,-21,-92
17:25:20.319,433,-26.65,-2.57,-3.67,-611,-118,-195
17:25:20.426,442,62.10,1.15,-3.17,15639,200,-13651
17:25:20.573,458,-9.30,-3.59,-1.03,-1959,2044,-208
17:25:20.648,470,-7.45,-3.30,-0.67,-1415,2055,-372
17:25:20.753,455,-5.72,-2.91,-0.21,-958,2014,-435
17:25:20.861,433,-4.15,-2.33,0.44,-573,2120,-266
17:25:20.934,432,-2.78,-1.63,1.19,-155,2254,21
17:25:21.075,401,-0.49,6.04,-2.65,-103,-544,-628
17:25:21.184,406,-1.90,6.01,-3.22,-174,-539,-658
17:25:21.260,414,-3.44,6.02,-3.68,-211,-416,-640
17:25:21.367,415,-5.04,5.92,-4.09,-329,-296,-694
17:25:21.476,421,-6.62,5.66,-4.49,-444,-267,-807
17:25:21.612,442,-36.68,-10.37,-3.31,-943,-419,239
17:25:21.684,458,-36.58,-10.58,-3.53,-771,-536,19
17:25:21.793,463,-36.36,-10.87,-3.74,-567,-556,-122
17:25:21.901,473,-36.07,-11.18,-3.85,-463,-402,-200
17:25:22.009,490,-20.61,-8.15,-2.17,187,570,360
17:25:22.119,485,-19.82,-7.84,-2.16,131,368,264
17:25:22.226,470,-19.02,-7.62,-2.13,3,124,219
17:25:22.293,399,-18.22,-7.49,-2.08,-329,-164,175
17:25:22.400,392,-17.41,-7.42,-2.04,-937,-378,160
17:25:22.542,410,-5.35,11.06,-0.92,2135,-1205,-4017
17:25:22.655,428,-8.88,10.41,-1.94,1636,-1639,-4025
17:25:22.726,454,-12.43,9.26,-2.71,1205,-1846,-3752
17:25:22.836,456,-15.77,7.56,-3.26,780,-1862,-3143
17:25:22.911,468,-18.79,5.45,-3.79,58,-1925,-2457
17:25:23.058,492,-26.08,-12.20,1.63,340,837,434
17:25:23.161,498,-25.13,-11.76,1.65,72,825,523
17:25:23.234,493,-24.17,-11.14,1.57,91,842,574
17:25:23.335,502,-23.16,-10.53,1.50,345,890,491
17:25:23.517,497,5.00,-5.48,1.64,297,114,428
17:25:23.623,488,5.87,-5.33,1.59,297,127,371
17:25:23.730,471,6.83,-5.24,1.43,317,-32,104
17:25:23.800,451,7.79,-5.14,1.32,278,-210,-108
17:25:23.903,422,8.66,-4.93,1.35,188,-216,-88
17:25:24.043,415,17.09,2.18,-0.44,-565,-66,-72
17:25:24.150,424,16.89,2.14,-0.64,-508,17,0
17:25:24.218,407,16.55,2.20,-0.89,-458,22,15
17:25:24.329,384,16.07,2.38,-1.20,-471,38,46
17:25:24.406,386,15.48,2.70,-1.49,-418,109,107
17:25:24.581,387,-20.27,-4.83,-8.17,-102,1395,-557
17:25:24.652,391,-21.31,-5.44,-8.12,218,1415,-495
17:25:24.759,431,-22.37,-6.01,-8.02,415,1535,-449
17:25:24.832,465,-23.56,-6.45,-7.94,448,1499,-532
17:25:24.937,496,-24.82,-6.82,-7.89,591,1252,-711
17:25:25.086,487,9.34,-14.70,5.77,-1607,9144,932
17:25:25.158,382,12.02,-13.86,6.62,-1260,9190,615
17:25:25.267,391,14.60,-12.94,7.34,-602,8910,219
17:25:25.376,390,17.02,-11.90,8.07,63,8538,-85
17:25:25.446,384,19.12,-10.62,8.96,765,8364,-322
17:25:25.586,407,-26.26,-7.30,-8.70,-3854,-1756,-2843
17:25:25.693,433,-27.75,-8.49,-7.92,-3878,-1276,-2632
17:25:25.799,448,-29.02,-9.60,-6.82,-3731,-439,-1919
17:25:25.868,459,-29.91,-10.73,-5.90,-3376,191,-1215
17:25:26.010,489,-23.91,-11.09,4.89,831,-275,483
17:25:26.125,498,-23.20,-10.93,5.14,785,-200,495
17:25:26.196,492,-22.43,-10.87,5.23,734,-282,388
17:25:26.306,504,-21.60,-10.82,5.21,698,-567,140
17:25:26.375,517,-20.79,-10.65,5.28,754,-815,5
17:25:26.520,497,7.20,-8.20,5.77,354,-512,482
17:25:26.630,491,8.20,-7.93,5.79,414,-365,497
17:25:26.740,475,9.14,-7.62,5.80,515,-245,496
17:25:26.811,453,10.06,-7.37,5.73,506,-271,500
17:25:26.923,416,10.95,-7.12,5.63,386,-349,579
17:25:27.066,426,19.36,0.85,1.17,-36,-22,-312
17:25:27.138,426,18.79,0.98,0.89,-180,-53,-270
17:25:27.248,411,18.17,1.13,0.66,-510,-77,-215
17:25:27.319,412,17.50,1.39,0.47,-801,-44,-42
17:25:27.432,402,-70.82,0.62,-0.85,23653,-9664,27798
17:25:27.579,412,-16.79,-5.19,-4.45,-520,106,-877
17:25:27.650,425,-17.76,-5.63,-4.36,-456,-27,-841
17:25:27.757,436,-18.88,-5.78,-4.05,-467,-40,-674
17:25:27.831,455,-20.03,-5.78,-3.63,-424,85,-373
17:25:27.937,500,-21.05,-5.94,-3.26,-384,284,-159
17:25:28.084,507,-6.79,-15.70,2.69,-6134,3264,-470
17:25:28.189,499,-3.92,-15.54,3.60,-5821,4549,-782
17:25:28.259,328,-1.05,-15.18,4.74,-5254,5785,-853
17:25:28.360,394,1.82,-14.68,5.90,-4373,6830,-550
17:25:28.469,413,4.60,-14.11,6.92,-3614,7614,-18
17:25:28.609,405,-7.81,4.09,-5.56,-1206,-483,-1743
17:25:28.677,404,-9.82,2.39,-6.68,-1815,-1011,-2279
17:25:28.783,428,-11.76,0.69,-7.53,-2214,-1888,-3007
17:25:28.893,446,-13.78,-0.75,-7.75,-2453,-2306,-3199
17:25:29.037,478,-24.39,-13.36,2.22,581,633,590
17:25:29.106,493,-23.64,-13.36,2.37,604,474,252
17:25:29.217,497,-22.81,-13.39,2.63,459,373,100
17:25:29.322,502,-21.96,-13.32,2.98,296,393,200
17:25:29.398,507,-21.13,-13.05,3.40,274,520,449
17:25:29.538,501,2.70,-9.03,5.10,436,-692,368
17:25:29.647,496,3.53,-8.94,5.08,406,-508,457
17:25:29.715,486,4.42,-8.91,4.98,385,-416,487
17:25:29.826,484,5.29,-8.85,4.83,334,-396,462
17:25:29.900,460,6.08,-8.66,4.66,335,-438,462
17:25:30.043,430,21.18,-3.15,2.12,672,353,388
17:25:30.149,423,21.15,-2.84,2.01,644,558,590
17:25:30.251,413,21.17,-2.65,1.75,716,624,605
17:25:30.321,392,21.18,-2.53,1.36,750,543,407
17:25:30.543,396,-5.41,-0.25,-6.48,-135,1947,-87
17:25:30.615,399,-6.74,-0.80,-6.92,-274,1604,-402
17:25:30.722,399,-8.18,-1.20,-7.35,-427,1221,-755
17:25:30.796,420,-9.86,-1.31,-7.58,-482,920,-976
17:25:30.902,442,-11.69,-1.22,-7.52,-305,892,-924
17:25:31.047,486,-28.24,-11.62,1.04,-676,-892,-126
17:25:31.155,505,-27.47,-11.75,1.44,-685,-1073,-294
17:25:31.226,510,-26.65,-11.89,1.90,-774,-1283,-438
17:25:31.334,475,-25.83,-11.92,2.48,-965,-1367,-527
17:25:31.403,361,-62.94,-42.86,39.51,14494,-11618,-4267
17:25:31.576,407,16.49,8.78,6.70,4212,1766,-1971
